ticker,close,ret_1d,ret_5d,ret_20d,ret_accel,vol_z,dollar_vol_ratio,dollar_volume,atr_move,dist_52w_high,gap_pct,range_pos,rs_1d,rs_5d,rs_20d,volume_score,momentum_score,relative_strength_score,ml_outlier_score,composite,options_bonus,final_score,name,is_etf
CGGG,29.375,0.027385316590398112,0.04240595038619399,0.03124449256023576,0.06833059580922984,1.5811616098118524,7.342297278100635,4528185.625,2.1472277683303944,-0.011766686755213751,0.014969271753294544,0.8255797448590337,0.025316455702788065,0.042396012547375905,0.04487725390971253,0.5469365371347514,0.5196187065460884,0.9754500818330606,0.983633387888707,0.7117832670486055,0.0,0.7117832670486055,Capital Group U.S. Large Growth ETF,True
CSQ,20.920000076293945,0.019990240996426545,0.023984325198175727,0.015258820022844954,0.048959540414571845,2.7372832682199078,2.267080023139703,7461745.627212524,1.370521793873312,-0.0015899037018649587,0.016089708436051398,0.8299338263915921,0.017921380108816498,0.02397438735935764,0.02889158137232173,0.5917188209014062,0.45363285593416125,0.9279869067103109,0.9132569558101473,0.6818542755547619,0.0,0.6818542755547619,Calamos Strategic Total Return Fund - Closed End Fund,False
SPBU,30.860000610351562,0.012035568145695397,0.013597893860048726,0.003903735853184598,0.02425627497884686,2.4662149953169403,4.813235068628282,3444253.8081207275,1.3594381993720372,-0.009945443220519934,0.0067884672618210296,0.6578961898117242,0.00996670725808535,0.01358795602123064,0.017536497202661372,0.6649157941096906,0.410964619602768,0.8445171849427169,0.8477905073649754,0.661225662575276,0.0,0.661225662575276,AllianzIM Buffer15 Uncapped Allocation ETF,True
PSEP,47.16999816894531,0.007905960211891827,0.010064184118361741,0.009199753423984491,0.016447146609011698,1.8248739090844677,14.559553120742994,31213850.05833435,1.3837606389673844,0.0,0.001068359783667594,0.962860380208989,0.00583709932428178,0.010054246279543655,0.022832514773461265,0.6296277553190248,0.3925999307521884,0.8019639934533551,0.967266775777414,0.6605144596675178,0.0,0.6605144596675178,Innovator U.S. Equity Power Buffer ETF - September,True
AEF,10.050000190734863,0.02655773543359885,0.03715176738297887,0.07028752111616665,0.05139391839105045,1.617359875008774,2.420150707586793,2090209.0896692276,1.2840807102314271,0.0,0.019407515947256204,0.8599420320827045,0.024488874545988804,0.03714182954416079,0.08392028246564343,0.3928417057225888,0.45162315237481554,0.9885433715220949,0.9770867430441899,0.6464654803424782,0.0,0.6464654803424782,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",False
FMAY,57.81999969482422,0.009392098485009326,0.011369626494618146,0.00942739048595298,0.01830047597095452,2.215715331542196,3.908445520227344,4216350.017745972,1.5531605830679591,0.0,0.004067558538539906,0.9384602744228083,0.007323237597399279,0.01135968865580006,0.023060151835429754,0.5856493856252445,0.4075862039938984,0.823240589198036,0.8036006546644845,0.623338925658247,0.0,0.623338925658247,FT Vest U.S. Equity Buffer ETF - May,True
ACYQ,21.045000076293945,0.0030982142743500862,0.013240231702907002,0.020067527820025077,0.021358668759174027,2.19606427637855,4.074711038347621,5423191.294660568,0.33959360708948416,0.0,-0.0033364964895874483,0.3749990830062722,0.0010293533867400395,0.013230293864088916,0.03370028916950185,0.5886312169116044,0.3446381977730697,0.8150572831423896,0.8265139116202946,0.6082950633579391,0.0,0.6082950633579391,FT Vest Autocallable Barrier & High Income ETF,True
BRIE,31.110000610351562,0.014346284087482397,0.011049728551502325,-0.004798452253102825,0.03484414444959183,2.0437367368345396,3.350533572089748,13038761.235809326,1.1280702640792997,-0.013007609183302571,0.013694166131371421,0.8888928134956237,0.01227742319987235,0.011039790712684239,0.008834309096373949,0.5268353698339009,0.4184751335973349,0.8134206219312602,0.8052373158756138,0.6073247385907455,0.0,0.6073247385907455,MFS Blended Research International Equity ETF,True
XFLT,19.56999969482422,0.01768071558406037,0.025412660917869978,0.015942377839909705,0.03261069730830668,2.4232834033173654,3.316143415001047,3914626.178955078,1.2625168562195614,-0.18118696939896262,0.01040045593865857,0.8393271660701421,0.015611854696450322,0.025402723079051892,0.02957513918938648,0.5974001369712959,0.1723346935187554,0.9230769230769231,0.9492635024549918,0.6053885342533983,0.0,0.6053885342533983,XAI Floating Rate & Alternative Income Trust Common Shares of Beneficial Interest,False
RCBC,52.61000061035156,0.0036246174750691473,-0.0035984588911815996,0.0727977085680247,0.0009264595538430731,0.9794295707823648,14.466438424985206,6055253.240249634,0.10577161681646004,-0.010718309356022027,0.0,0.8113202794082188,0.0015557565874591006,-0.0036083967299996855,0.08643046991750147,0.48610981440626566,0.26071803749782196,0.8936170212765957,0.9819967266775778,0.599171105162061,0.0,0.599171105162061,River City Bank - Common stock,False
DFAL,52.14979934692383,0.01458750581296031,0.0179543199864598,0.00987219138847606,0.030483262016077206,0.9216109217180103,4.0959923551245465,4961479.760066986,1.6751013135744814,-0.004584845304886009,0.007200352198965199,0.8292179012962778,0.012518644925350264,0.017944382147641713,0.023504952737952833,0.3662691874103769,0.44240244693966635,0.8903436988543372,0.8117839607201309,0.5830270222199067,0.0,0.5830270222199067,Dimensional US Large Cap Core Equity Market ETF,True
BLGR,33.1619987487793,0.021626607643450146,0.03308412227852231,0.02923642124106718,0.046333016542768,0.8028248477072913,1.6904531595087702,1200497.5167045593,2.1290412607151756,0.0,0.007085629966833595,0.879644320813444,0.0195577467558401,0.033074184439704224,0.04286918259054395,0.2195642439438587,0.4944358613668668,0.9492635024549918,0.8903436988543372,0.5821214718550834,0.0,0.5821214718550834,Bluemonte Large Cap Growth ETF,True
IWLG,57.66469955444336,0.023966988558075553,0.04465033980866662,0.02730527303132302,0.06719206451685134,0.21832905858140633,1.3763214519684455,834004.5496559143,2.105476182838242,-0.006466253534871735,0.01385070785785647,1.0,0.021898127670465506,0.04464040196984853,0.04093803438079979,0.14339607011340227,0.51615693189508,0.9689034369885434,0.9476268412438625,0.581171956249026,0.0,0.581171956249026,NYLIM Winslow Large Cap Growth ETF,True
EDGU,32.029998779296875,0.014892247189727925,0.013286876331402908,-0.0003121765276111743,0.027937786364959916,1.359010442918934,3.217344167414605,2358560.9901123047,1.849855006122381,-0.016730682145144504,0.006020295857820157,1.0,0.012823386302117878,0.013276938492584822,0.0133205848218656,0.39238316762780073,0.44752387417183265,0.8543371522094927,0.7872340425531915,0.5802863514924268,0.0,0.5802863514924268,3EDGE Dynamic US Equity ETF,True
FSCO,5.389999866485596,0.026666641235351562,0.036538473882619105,0.05252881531428555,0.0554064697073251,1.809161115666888,1.7179442880967,7011726.856314182,1.9164404804167676,-0.1745868095986326,0.013333366030738425,1.0,0.024597780347741516,0.03652853604380102,0.06616157666376232,0.384432441852871,0.24320381518293757,0.9787234042553191,0.9787234042553191,0.5797802388128702,0.0,0.5797802388128702,FS Credit Opportunities Corp. Common Stock,False
SMCIP,68.83000183105469,0.04351126116461157,0.10463810486382763,0.09358124138639945,0.1701749811668345,-0.07223031340010377,0.9553765894556112,25391869.48548889,0.8680811583609529,0.0,0.02759247604739068,0.5357160929696654,0.04144240027700152,0.10462816702500954,0.10721400273587622,0.10002478606106716,0.4938650412546446,0.9967266775777414,0.9934533551554828,0.5762029547413584,0.0,0.5762029547413584,"Super Micro Computer, Inc. - Depositary Shares Each Representing a 1/20th Interest in a Share of 7% Series A Mandatory Convertible Preferred Stock",False
